ID,Energy
2023-01-01 06:00:00_B_0,60.6199980366
2023-01-01 11:00:00_B_0,72.43653524899737
2023-01-01 12:00:00_B_0,69.32928416940717
2023-01-01 13:00:00_B_0,70.75167828923796
2023-01-01 23:00:00_B_0,79.3803777396587
2023-01-02 07:00:00_B_0,83.76034066638209
2023-01-02 19:00:00_B_0,84.13859733828947
2023-01-04 02:00:00_B_0,61.97297533138832
2023-01-04 05:00:00_B_0,55.329509069368214
2023-01-04 09:00:00_B_0,65.32173840912802
2023-01-04 13:00:00_B_0,76.1646902578628
2023-01-05 02:00:00_B_0,63.184257314469534
2023-01-05 06:00:00_B_0,55.61142920892196
2023-01-05 11:00:00_B_0,72.34906879865356
2023-01-05 13:00:00_B_0,68.91060241948463
2023-01-05 18:00:00_B_0,85.52676630327453
2023-01-06 06:00:00_B_0,57.19635017625346
2023-01-06 22:00:00_B_0,81.78848927229348
2023-01-07 10:00:00_B_0,74.2090474901157
2023-01-01 02:00:00_B_1,17.723109957426875
2023-01-01 09:00:00_B_1,15.217554517725514
2023-01-02 13:00:00_B_1,17.665770430838446
2023-01-02 15:00:00_B_1,17.43208146633879
2023-01-02 18:00:00_B_1,18.373220683191704
2023-01-03 01:00:00_B_1,14.5599003523478
2023-01-03 05:00:00_B_1,16.00549491585548
2023-01-03 13:00:00_B_1,17.47489196758687
2023-01-03 14:00:00_B_1,17.328609793060235
2023-01-03 17:00:00_B_1,20.11494031021341
2023-01-03 18:00:00_B_1,20.08828271087237
2023-01-03 23:00:00_B_1,18.37238263938505
2023-01-04 01:00:00_B_1,16.991949073587193
2023-01-04 03:00:00_B_1,17.849001771420987
2023-01-04 08:00:00_B_1,17.850677675771028
2023-01-04 09:00:00_B_1,16.09262373481876
2023-01-04 12:00:00_B_1,16.844436679375704
2023-01-04 16:00:00_B_1,20.663089991502197
2023-01-04 19:00:00_B_1,17.59105961383111
2023-01-04 22:00:00_B_1,19.67423899957231
2023-01-05 11:00:00_B_1,17.13707533915096
2023-01-05 18:00:00_B_1,19.84361018439632
2023-01-05 19:00:00_B_1,17.021171205166457
2023-01-05 20:00:00_B_1,17.378850834889874
2023-01-05 23:00:00_B_1,24.56244640251488
2023-01-06 03:00:00_B_1,16.35811355723486
2023-01-06 05:00:00_B_1,15.822823134369308
2023-01-06 17:00:00_B_1,18.827838665339495
2023-01-01 02:00:00_B_2,51.63937959253278
2023-01-01 05:00:00_B_2,49.78923174156543
2023-01-01 09:00:00_B_2,56.26772395974179
2023-01-02 03:00:00_B_2,52.18266607917543
2023-01-02 05:00:00_B_2,51.03294416158704
2023-01-02 10:00:00_B_2,59.635528797475956
2023-01-02 17:00:00_B_2,59.74565530041281
2023-01-02 20:00:00_B_2,57.684216033577954
2023-01-02 21:00:00_B_2,59.36882488912926
2023-01-03 08:00:00_B_2,57.90899750516376
2023-01-03 16:00:00_B_2,56.067512309188
2023-01-03 19:00:00_B_2,58.10583085861586
2023-01-03 22:00:00_B_2,61.62893678255682
2023-01-04 11:00:00_B_2,56.78106728993752
2023-01-04 12:00:00_B_2,55.818105584532354
2023-01-04 17:00:00_B_2,59.80910270452385
2023-01-04 23:00:00_B_2,59.27617784594021
2023-01-05 00:00:00_B_2,55.024796957642906
2023-01-05 06:00:00_B_2,51.312404173499964
2023-01-05 10:00:00_B_2,54.907208815210566
2023-01-05 20:00:00_B_2,58.42157637782064
